"Product Name","Category","Sub-Category","total_revenue","total_profit","profit_margin_pct","total_units_sold"
"Canon imageCLASS 2200 Advanced Copier","Technology","Copiers","61600","25200","40.91","20"
"Cisco Smart Phone  Full Size","Technology","Phones","76442","17239","22.55","139"
"Motorola Smart Phone  Full Size","Technology","Phones","73156","17027","23.27","134"
"Hoover Stove  Red","Office Supplies","Appliances","31664","11808","37.29","62"
"Sauder Classic Bookcase  Traditional","Furniture","Bookcases","39108","10672","27.29","113"
"Harbour Creations Executive Leather Armchair  Adjustable","Furniture","Chairs","50122","10427","20.80","142"
"Nokia Smart Phone  Full Size","Technology","Phones","71905","9938","13.82","147"
"Cisco Smart Phone  with Caller ID","Technology","Phones","43128","9787","22.69","85"
"Nokia Smart Phone  with Caller ID","Technology","Phones","47878","9465","19.77","96"
"Belkin Router  USB","Technology","Accessories","23470","8955","38.15","110"
"Hewlett Wireless Fax  High-Speed","Technology","Copiers","23811","8678","36.45","75"
"Canon Wireless Fax  Laser","Technology","Copiers","21929","7992","36.44","66"
"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind","Office Supplies","Binders","27453","7753","28.24","31"
"Memorex Router  Erganomic","Technology","Accessories","21889","7468","34.12","111"
"SAFCO Executive Leather Armchair  Black","Furniture","Chairs","41924","7154","17.07","111"
"Hewlett Packard LaserJet 3310 Copier","Technology","Copiers","18840","6984","37.07","38"
"Rogers Lockers  Single Width","Office Supplies","Storage","20493","6755","32.96","114"
"Dania Classic Bookcase  Pine","Furniture","Bookcases","25630","6565","25.61","88"
"Brother Copy Machine  Color","Technology","Copiers","26227","6520","24.86","125"
"Bush Classic Bookcase  Pine","Furniture","Bookcases","16754","6511","38.86","50"
"Eldon Lockers  Industrial","Office Supplies","Storage","17825","6485","36.38","109"
"Samsung Smart Phone  with Caller ID","Technology","Phones","26311","6393","24.30","50"
"HP Copy Machine  Color","Technology","Copiers","22297","6100","27.36","110"
"Hon Executive Leather Armchair  Adjustable","Furniture","Chairs","58193","5997","10.31","169"
"Hamilton Beach Stove  Silver","Office Supplies","Appliances","28657","5990","20.90","66"
"Apple Smart Phone  Full Size","Technology","Phones","86936","5922","6.81","171"
"HP Fax Machine  Laser","Technology","Copiers","18175","5901","32.47","70"
"Hewlett Wireless Fax  Digital","Technology","Copiers","22045","5883","26.69","66"
"Bush Classic Bookcase  Metal","Furniture","Bookcases","23540","5872","24.94","72"
"KitchenAid Stove  Silver","Office Supplies","Appliances","21966","5725","26.06","46"
"Brother Fax Machine  Laser","Technology","Copiers","20547","5651","27.50","75"
"Nokia Smart Phone  Cordless","Technology","Phones","25658","5640","21.98","46"
"Novimex Executive Leather Armchair  Adjustable","Furniture","Chairs","40585","5562","13.71","124"
"Apple Smart Phone  Cordless","Technology","Phones","27164","5450","20.06","52"
"Safco Classic Bookcase  Metal","Furniture","Bookcases","25276","5416","21.43","75"
"Ikea Classic Bookcase  Traditional","Furniture","Bookcases","22752","5367","23.59","62"
"Ikea Classic Bookcase  Mobile","Furniture","Bookcases","21804","5348","24.53","65"
"Harbour Creations Executive Leather Armchair  Red","Furniture","Chairs","23517","5252","22.33","68"
"Brother Fax Machine  Digital","Technology","Copiers","17009","5197","30.56","66"
"Hon Swivel Stool  Black","Furniture","Chairs","19537","5186","26.55","158"
"Hewlett Wireless Fax  Color","Technology","Copiers","23266","5054","21.72","74"
"Memorex Router  Bluetooth","Technology","Accessories","17318","4923","28.43","96"
"KitchenAid Refrigerator  Silver","Office Supplies","Appliances","17764","4858","27.35","46"
"Sharp Wireless Fax  Laser","Technology","Copiers","17234","4815","27.94","63"
"Office Star Executive Leather Armchair  Adjustable","Furniture","Chairs","50662","4711","9.30","141"
"Office Star Executive Leather Armchair  Red","Furniture","Chairs","25214","4677","18.55","68"
"Canon PC1060 Personal Laser Copier","Technology","Copiers","11620","4571","39.34","19"
"Dania Classic Bookcase  Traditional","Furniture","Bookcases","15048","4544","30.20","56"
"Smead Lockers  Single Width","Office Supplies","Storage","16714","4541","27.17","116"
"Fellowes Lockers  Blue","Office Supplies","Storage","20564","4530","22.03","122"
"Konica Inkjet  White","Technology","Machines","17329","4458","25.72","62"
"Rogers Lockers  Industrial","Office Supplies","Storage","18301","4411","24.10","104"
"Sauder Classic Bookcase  Mobile","Furniture","Bookcases","20057","4389","21.88","58"
"Fellowes Lockers  Wire Frame","Office Supplies","Storage","16473","4342","26.36","109"
"SanDisk Router  Bluetooth","Technology","Accessories","14008","4327","30.89","81"
"Sauder Stackable Bookrack  Pine","Furniture","Bookcases","15642","4273","27.32","133"
"Sauder Classic Bookcase  Pine","Furniture","Bookcases","24076","4268","17.73","73"
"Eldon File Cart  Single Width","Office Supplies","Storage","34388","4239","12.33","321"
"Brother Fax Machine  High-Speed","Technology","Copiers","22432","4161","18.55","84"
"Brother Fax Machine  Color","Technology","Copiers","16477","4148","25.18","64"
"Cuisinart Stove  Red","Office Supplies","Appliances","16364","4101","25.06","40"
"HP Designjet T520 Inkjet Large Format Printer - 24 Color","Technology","Machines","18375","4095","22.29","12"
"Sauder Classic Bookcase  Metal","Furniture","Bookcases","23195","4043","17.43","69"
"Cisco Smart Phone  Cordless","Technology","Phones","41022","4021","9.80","89"
"Brother Wireless Fax  Laser","Technology","Copiers","23905","4001","16.74","86"
"Safco Floating Shelf Set  Traditional","Furniture","Bookcases","10576","3985","37.68","66"
"Tenex File Cart  Single Width","Office Supplies","Storage","22114","3953","17.87","207"
"Motorola Smart Phone  with Caller ID","Technology","Phones","30244","3944","13.04","53"
"Samsung Smart Phone  VoIP","Technology","Phones","45406","3904","8.60","97"
"HP Wireless Fax  Digital","Technology","Copiers","15174","3895","25.67","51"
"Sharp Wireless Fax  Color","Technology","Copiers","21431","3883","18.12","69"
"Sauder Library with Doors  Metal","Furniture","Bookcases","15171","3807","25.09","51"
"Sharp Fax and Copier  Digital","Technology","Copiers","9646","3784","39.23","66"
"Ativa V4110MDD Micro-Cut Shredder","Technology","Machines","7700","3773","49.00","11"
"3D Systems Cube Printer  2nd Generation  Magenta","Technology","Machines","14300","3718","26.00","11"
"Sharp Fax Machine  High-Speed","Technology","Copiers","18015","3713","20.61","72"
"Plantronics Savi W720 Multi-Device Wireless Headset System","Technology","Accessories","9367","3696","39.46","24"
"Bush Classic Bookcase  Mobile","Furniture","Bookcases","19022","3673","19.31","55"
"Hewlett Fax Machine  Laser","Technology","Copiers","14146","3664","25.90","58"
"Smead Lockers  Industrial","Office Supplies","Storage","28992","3630","12.52","187"
"Hamilton Beach Stove  Red","Office Supplies","Appliances","11516","3552","30.85","26"
"KitchenAid Refrigerator  Black","Office Supplies","Appliances","21870","3443","15.74","52"
"Safco Library with Doors  Pine","Furniture","Bookcases","27264","3361","12.33","89"
"Ibico EPK-21 Electric Binding System","Office Supplies","Binders","15876","3345","21.07","13"
"Zebra ZM400 Thermal Label Printer","Technology","Machines","6966","3344","48.00","6"
"Fellowes Lockers  Industrial","Office Supplies","Storage","22637","3339","14.75","142"
"Okidata Inkjet  Wireless","Technology","Machines","23004","3315","14.41","88"
"Canon Fax and Copier  Laser","Technology","Copiers","10618","3300","31.08","65"
"Apple Speaker Phone  VoIP","Technology","Phones","10688","3268","30.58","101"
"Dania Library with Doors  Traditional","Furniture","Bookcases","21495","3264","15.18","76"
"Honeywell Enviracaire Portable HEPA Air Cleaner for 17 x 22 Room","Office Supplies","Appliances","11304","3247","28.72","40"
"SanDisk Router  USB","Technology","Accessories","11035","3245","29.40","56"
"Harbour Creations Executive Leather Armchair  Black","Furniture","Chairs","32231","3240","10.05","100"
"Apple Smart Phone  with Caller ID","Technology","Phones","16754","3197","19.08","38"
"Memorex Router  Programmable","Technology","Accessories","9475","3190","33.66","43"
"Hewlett Packard 610 Color Digital Copier / Printer","Technology","Copiers","8900","3125","35.11","21"
"Plantronics CS510 - Over-the-Head monaural Wireless Headset System","Technology","Accessories","10822","3085","28.51","35"
"Fellowes File Cart  Blue","Office Supplies","Storage","11351","3074","27.08","104"
"Canon Wireless Fax  Digital","Technology","Copiers","16017","3069","19.16","49"
"Breville Refrigerator  Silver","Office Supplies","Appliances","11286","3063","27.14","26"
"Hoover Refrigerator  Red","Office Supplies","Appliances","11762","3056","25.98","29"
"Hamilton Beach Refrigerator  Silver","Office Supplies","Appliances","14973","3017","20.15","39"
"Breville Refrigerator  White","Office Supplies","Appliances","17673","3011","17.04","41"
"Chromcraft Computer Table  Adjustable Height","Furniture","Tables","7583","3009","39.68","22"
"SanDisk Router  Erganomic","Technology","Accessories","9980","3002","30.08","41"
"Sharp Copy Machine  Laser","Technology","Copiers","14449","2999","20.75","77"
"Brother Wireless Fax  Digital","Technology","Copiers","17154","2984","17.40","54"
"Logitech Router  USB","Technology","Accessories","12960","2906","22.43","67"
"Epson Inkjet  Durable","Technology","Machines","9598","2851","29.70","34"
"Bush Classic Bookcase  Traditional","Furniture","Bookcases","26535","2822","10.63","79"
"Breville Microwave  White","Office Supplies","Appliances","13598","2809","20.66","57"
"Cardinal Binding Machine  Clear","Office Supplies","Binders","7578","2805","37.01","171"
"Canon Imageclass D680 Copier / Fax","Technology","Copiers","8960","2800","31.25","16"
"KitchenAid Microwave  White","Office Supplies","Appliances","11246","2785","24.76","39"
"Brother Ink  Color","Technology","Copiers","11133","2752","24.72","92"
"Sharp Fax and Copier  Laser","Technology","Copiers","7826","2721","34.77","55"
"Ikea Stackable Bookrack  Mobile","Furniture","Bookcases","7949","2704","34.01","86"
"Canon Ink  Laser","Technology","Copiers","6459","2668","41.31","48"
"Bush Library with Doors  Mobile","Furniture","Bookcases","16642","2661","15.99","60"
"Novimex Swivel Stool  Red","Furniture","Chairs","12154","2661","21.89","100"
"Dania Classic Bookcase  Metal","Furniture","Bookcases","17612","2655","15.07","51"
"Breville Refrigerator  Black","Office Supplies","Appliances","11058","2638","23.86","28"
"Tenex Lockers  Wire Frame","Office Supplies","Storage","19642","2632","13.40","128"
"Harbour Creations Swivel Stool  Set of Two","Furniture","Chairs","13356","2632","19.71","92"
